Order_ID,Customer_ID,Customer_Name,Age,Gender,City,Product_Name,Category,Quantity,Unit_Price,Discount,Order_Date,Payment_Method,Order_Status,Customer_Rating,Date_of_Birth,Total_Amount,Order_Month
ORD040,CUST002,Customer_40,40.0,Female,Bangalore,T-Shirt,Western Wear,1,1681.16,0.19,2024-09-17,UPI,Cancelled,5.0,11-01-1984,1681.16,September
ORD041,CUST032,Customer_41,29.0,Male,Bangalore,Shoes,Footwear,1,2128.49,0.06,2024-05-07,UPI,Returned,2.0,08-01-1995,2128.49,May
ORD042,CUST037,Customer_42,39.0,Female,Chennai,Jewellery,Accessories,3,384.28,0.29,2024-11-15,Cash,Pending,3.0,10-01-1985,1152.84,November
ORD043,CUST028,Customer_43,51.0,Female,Pune,Handbag,Accessories,2,450.61,0.32,2024-05-20,UPI,Cancelled,1.0,13-01-1973,901.22,May
ORD044,CUST019,Customer_44,49.0,Male,Bangalore,Jewellery,Accessories,1,1206.27,0.29,2024-03-31,UPI,Returned,1.0,13-01-1975,1206.27,March
ORD045,CUST030,Customer_45,42.0,Male,Hyderabad,Kurti,Traditional Wear,4,1482.16,0.27,2024-02-28,Cash,Delivered,1.0,11-01-1982,5928.64,February
ORD046,CUST014,Customer_46,50.0,Female,Pune,Shoes,Footwear,4,296.87,0.11,2024-09-09,Debit Card,Cancelled,5.0,13-01-1974,1187.48,September
ORD047,CUST023,Customer_47,27.0,Male,Chennai,Jeans,Western Wear,1,2173.4,0.11,2024-07-09,Credit Card,Cancelled,3.0,07-01-1997,2173.4,July
ORD048,CUST024,Customer_48,44.0,Female,Kolkata,T-Shirt,Western Wear,4,2795.39,0.34,2024-06-19,UPI,Returned,2.0,12-01-1980,11181.56,June
ORD049,CUST031,Customer_49,25.0,Female,Jaipur,Handbag,Accessories,2,3672.71,0.21,2024-02-08,Debit Card,Cancelled,2.0,07-01-1999,7345.42,February
ORD050,CUST012,Customer_50,26.0,Female,Pune,T-Shirt,Western Wear,2,4439.78,0.33,2024-06-23,Debit Card,Pending,2.0,07-01-1998,8879.56,June
ORD051,CUST029,Customer_51,39.0,Male,Hyderabad,Saree,Traditional Wear,2,943.83,0.25,2024-01-19,Cash,Returned,4.0,10-01-1985,1887.66,January
ORD052,CUST011,Customer_52,26.0,Female,Bangalore,Saree,Traditional Wear,3,2394.79,0.22,2024-10-22,Credit Card,Cancelled,2.0,07-01-1998,7184.37,October
ORD053,CUST025,Customer_53,46.0,Male,Jaipur,Jewellery,Accessories,4,4850.75,0.33,2024-09-16,UPI,Pending,3.0,12-01-1978,19403.0,September
ORD054,CUST010,Customer_54,48.0,Female,Jaipur,Lehenga,Traditional Wear,1,1706.75,0.27,2024-02-03,Credit Card,Cancelled,3.0,13-01-1976,1706.75,February
ORD055,CUST016,Customer_55,43.0,Male,Jaipur,Kurti,Traditional Wear,2,4736.56,0.28,2024-11-07,Credit Card,Returned,5.0,11-01-1981,9473.12,November
ORD056,CUST019,Customer_56,43.0,Male,Jaipur,Kurti,Traditional Wear,4,1494.72,0.09,2024-11-07,Debit Card,Pending,1.0,11-01-1981,5978.88,November
ORD057,CUST017,Customer_57,32.0,Female,Bangalore,Jeans,Western Wear,1,438.18,0.36,2024-03-14,Credit Card,Pending,2.0,09-01-1992,438.18,March
ORD058,CUST008,Customer_58,35.0,Male,Pune,Handbag,Accessories,3,3231.18,0.05,2024-02-06,Credit Card,Returned,3.0,09-01-1989,9693.539999999999,February
ORD059,CUST025,Customer_59,39.0,Female,Kolkata,Shoes,Footwear,2,2012.29,0.05,2024-10-15,Credit Card,Delivered,3.0,10-01-1985,4024.58,October
ORD060,CUST012,Customer_60,31.0,Female,Pune,Jeans,Western Wear,1,1293.64,0.06,2024-06-18,Cash,Cancelled,2.0,08-01-1993,1293.64,June
ORD061,CUST018,Customer_61,51.0,Female,Jaipur,Kurti,Traditional Wear,1,1341.96,0.14,2024-04-29,Net Banking,Delivered,3.0,13-01-1973,1341.96,April
ORD062,CUST047,Customer_62,22.0,Male,Kolkata,Kurti,Traditional Wear,3,1376.87,0.0,2024-09-16,Net Banking,Pending,1.0,06-01-2002,4130.61,September
ORD063,CUST008,Customer_63,41.0,Female,Mumbai,Jewellery,Accessories,3,3380.45,0.05,2024-08-19,Net Banking,Delivered,4.0,11-01-1983,10141.349999999999,August
ORD064,CUST012,Customer_64,48.0,Female,Chennai,Jeans,Western Wear,1,1872.83,0.29,2024-01-13,Net Banking,Cancelled,1.0,13-01-1976,1872.83,January
ORD065,CUST029,Customer_65,46.0,Male,Kolkata,T-Shirt,Western Wear,3,2047.25,0.33,2024-12-18,Cash,Delivered,5.0,12-01-1978,6141.75,December
ORD066,CUST034,Customer_66,45.0,Male,Bangalore,Shoes,Footwear,4,4137.99,0.01,2024-04-20,Net Banking,Delivered,3.0,12-01-1979,16551.96,April
ORD067,CUST021,Customer_67,27.0,Male,Hyderabad,Handbag,Accessories,2,4496.11,0.03,2024-02-19,UPI,Returned,5.0,07-01-1997,8992.22,February
ORD068,CUST033,Customer_68,25.0,Male,Bangalore,Handbag,Accessories,2,1510.18,0.04,2024-08-09,Credit Card,Delivered,2.0,07-01-1999,3020.36,August
ORD069,CUST025,Customer_69,40.0,Female,Mumbai,Jewellery,Accessories,4,4400.04,0.12,2024-02-27,UPI,Delivered,1.0,11-01-1984,17600.16,February
ORD070,CUST045,Customer_70,50.0,Male,Kolkata,T-Shirt,Western Wear,1,4414.78,0.05,2024-02-18,UPI,Pending,5.0,13-01-1974,4414.78,February
ORD071,CUST006,Customer_71,21.0,Male,Pune,Lehenga,Traditional Wear,4,3974.38,0.27,2024-04-27,UPI,Cancelled,5.0,06-01-2003,15897.52,April
ORD072,CUST005,Customer_72,27.0,Female,Kolkata,Jeans,Western Wear,1,226.92,0.13,2024-10-21,UPI,Returned,4.0,07-01-1997,226.92,October
ORD073,CUST008,Customer_73,30.0,Female,Hyderabad,Jeans,Western Wear,4,1414.2,0.13,2024-07-13,Credit Card,Cancelled,4.0,08-01-1994,5656.8,July
ORD074,CUST025,Customer_74,22.0,Female,Hyderabad,Kurti,Traditional Wear,2,1128.16,0.06,2024-04-28,UPI,Delivered,5.0,06-01-2002,2256.32,April
ORD075,CUST025,Customer_75,48.0,Male,Bangalore,Lehenga,Traditional Wear,3,2172.43,0.03,2024-11-12,Cash,Delivered,5.0,13-01-1976,6517.289999999999,November
ORD076,CUST045,Customer_76,24.0,Male,Delhi,Jewellery,Accessories,3,2344.19,0.3,2024-12-19,UPI,Delivered,3.0,07-01-2000,7032.57,December
ORD077,CUST035,Customer_77,28.0,Male,Mumbai,Lehenga,Traditional Wear,4,4009.97,0.28,2024-07-11,UPI,Pending,4.0,08-01-1996,16039.88,July
ORD078,CUST041,Customer_78,48.0,Female,Hyderabad,Jeans,Western Wear,2,3671.52,0.2,2024-12-22,Cash,Cancelled,2.0,13-01-1976,7343.04,December
ORD079,CUST016,Customer_79,27.0,Female,Bangalore,Jeans,Western Wear,2,200.51,0.34,2024-08-17,Credit Card,Cancelled,4.0,07-01-1997,401.02,August
ORD080,CUST014,Customer_80,20.0,Male,Chennai,Jeans,Western Wear,2,2905.95,0.2,2024-03-07,Net Banking,Pending,3.0,06-01-2004,5811.9,March
ORD081,CUST025,Customer_81,35.5,Female,Bangalore,Jewellery,Accessories,3,4176.95,0.23,2024-01-09,UPI,Returned,3.0,05-01-2005,12530.849999999999,January
ORD082,CUST016,Customer_82,35.5,Female,Bangalore,Shoes,Footwear,1,211.38,0.1,2024-03-18,UPI,Returned,3.0,08-01-1993,211.38,March
ORD083,CUST007,Customer_83,29.0,Male,Delhi,Shoes,Footwear,1,1715.78,0.26,2024-07-01,Net Banking,Cancelled,3.0,08-01-1995,1715.78,July
ORD084,CUST022,Customer_84,23.0,Male,Hyderabad,Handbag,Accessories,4,3615.37,0.26,2024-12-25,Credit Card,Returned,5.0,06-01-2001,14461.48,December
ORD085,CUST043,Customer_85,35.5,Male,Bangalore,T-Shirt,Western Wear,3,2171.215,0.03,2024-01-22,UPI,Returned,3.0,12-01-1977,6513.645,January
ORD086,CUST023,Customer_86,38.0,Male,Kolkata,Saree,Traditional Wear,3,2228.25,0.01,2024-07-12,Cash,Returned,3.0,10-01-1986,6684.75,July
ORD087,CUST012,Customer_87,52.0,Male,Chennai,Saree,Traditional Wear,2,2210.37,0.26,2024-11-08,Net Banking,Cancelled,3.0,14-01-1972,4420.74,November
ORD088,CUST049,Customer_88,50.0,Female,Pune,Shoes,Footwear,1,4369.04,0.13,2024-08-28,Cash,Returned,1.0,13-01-1974,4369.04,August
ORD089,CUST013,Customer_89,48.0,Male,Mumbai,Shoes,Footwear,3,719.99,0.37,2024-10-14,Cash,Cancelled,1.0,13-01-1976,2159.9700000000003,October
ORD090,CUST029,Customer_90,40.0,Male,Jaipur,T-Shirt,Western Wear,1,2953.37,0.27,2024-02-09,Debit Card,Cancelled,3.0,11-01-1984,2953.37,February
ORD091,CUST033,Customer_91,23.0,Male,Bangalore,Kurti,Traditional Wear,2,3090.61,0.24,2024-02-12,Credit Card,Returned,1.0,06-01-2001,6181.22,February
ORD092,CUST050,Customer_92,36.0,Male,Bangalore,Lehenga,Traditional Wear,1,542.11,0.39,2024-04-26,UPI,Delivered,5.0,10-01-1988,542.11,April
ORD093,CUST016,Customer_93,19.0,Male,Kolkata,Jewellery,Accessories,2,1662.33,0.34,2024-02-03,Cash,Returned,4.0,05-01-2005,3324.66,February
ORD094,CUST045,Customer_94,35.5,Male,Bangalore,Handbag,Accessories,4,2462.55,0.26,2024-09-05,Cash,Returned,3.0,08-01-1993,9850.2,September
ORD095,CUST041,Customer_95,36.0,Male,Pune,Jeans,Western Wear,3,2258.12,0.1,2024-01-15,Cash,Delivered,1.0,10-01-1988,6774.36,January
ORD096,CUST043,Customer_96,45.0,Male,Hyderabad,Handbag,Accessories,1,3867.01,0.14,2024-08-23,Debit Card,Cancelled,4.0,12-01-1979,3867.01,August
ORD097,CUST046,Customer_97,37.0,Male,Bangalore,Jewellery,Accessories,4,1349.24,0.1,2024-03-17,UPI,Cancelled,5.0,10-01-1987,5396.96,March
ORD098,CUST044,Customer_98,25.0,Male,Bangalore,T-Shirt,Western Wear,1,3047.69,0.11,2024-12-03,Credit Card,Delivered,1.0,07-01-1999,3047.69,December
ORD099,CUST034,Customer_99,42.0,Male,Kolkata,Lehenga,Traditional Wear,1,1236.74,0.37,2024-01-10,Debit Card,Returned,2.0,11-01-1982,1236.74,January
ORD100,CUST046,Customer_100,33.0,Male,Bangalore,Jewellery,Accessories,3,1777.07,0.12,2024-06-05,Debit Card,Delivered,2.0,09-01-1991,5331.21,June
ORD084,CUST022,Customer_84,23.0,Male,Hyderabad,Handbag,Accessories,4,3615.37,0.26,2024-12-25,Credit Card,Returned,5.0,06-01-2001,14461.48,December
ORD031,CUST014,Customer_31,20.0,Male,Pune,Jewellery,Accessories,2,4142.57,0.35,2024-04-27,Net Banking,Cancelled,5.0,06-01-2004,8285.14,April
ORD025,CUST009,Customer_25,18.0,Male,Kolkata,Jeans,Western Wear,1,1897.86,0.28,2024-03-24,UPI,Pending,1.0,05-01-2006,1897.86,March
ORD017,CUST037,Customer_17,35.0,Female,Bangalore,Handbag,Accessories,1,2432.64,0.15,2024-08-02,Net Banking,Returned,4.0,09-01-1989,2432.64,August
